CL=F,DX-Y.NYB,ES=F,EURCHF=X,EURUSD=X,GBPCHF=X,GC=F,JPYCHF=X,SI=F,USDCHF=X,YM=F,^SSMI,^TNX,^VIX
,89.93099975585938,,,,,,,,,,,,
48.4900016784668,,3751.25,,,,1915.9000244140625,,26.954999923706055,,30506.0,,,
48.43000030517578,,3749.0,,,,1917.4000244140625,,27.014999389648438,,30505.0,,,
48.43000030517578,,3746.5,1.0820900201797485,1.2253400087356567,1.207610011100769,1915.800048828125,0.008569999597966671,26.94499969482422,0.8836899995803833,30474.0,,,
48.38999938964844,,3740.75,1.0816899538040161,1.2244398593902588,1.207800030708313,1917.9000244140625,0.008573999628424644,27.0,0.8835999965667725,30431.0,,,
48.630001068115234,,3745.0,1.0824799537658691,1.2247397899627686,1.2095099687576294,1919.5,0.008572999387979507,27.219999313354492,0.8840000033378601,30465.0,,,
48.7599983215332,,3747.5,1.0825999975204468,1.2256402969360352,1.2088899612426758,1921.5,0.008573999628424644,27.165000915527344,0.8835300207138062,30498.0,,,
48.83000183105469,,3750.25,1.0826300382614136,1.2259409427642822,1.2092100381851196,1923.199951171875,0.008574999868869781,27.190000534057617,0.8834099769592285,30519.0,,,
49.16999816894531,89.68900299072266,3747.25,1.0825799703598022,1.2259409427642822,1.2096600532531738,1925.699951171875,0.008578999899327755,27.274999618530273,0.8834400177001953,30493.0,,,
49.18000030517578,89.67500305175781,3750.5,1.0829600095748901,1.2260912656784058,1.2099499702453613,1927.199951171875,0.008578999899327755,27.28499984741211,0.8835399746894836,30518.0,,,
48.97999954223633,89.68199920654297,3749.5,1.0829299688339233,1.2257906198501587,1.2098000049591064,1927.4000244140625,0.008573999628424644,27.2450008392334,0.883620023727417,30511.0,,,
49.0099983215332,89.7239990234375,3749.25,1.0829600095748901,1.2256402969360352,1.2095999717712402,1926.199951171875,0.008584000170230865,27.219999313354492,0.8841300010681152,30501.0,,,
49.060001373291016,89.73400115966797,3748.25,1.0828700065612793,1.2251899242401123,1.2094099521636963,1926.9000244140625,0.008582999929785728,27.2450008392334,0.8840199708938599,30491.0,,,
49.060001373291016,89.76799774169922,3747.0,1.0828200578689575,1.2248897552490234,1.2090599536895752,1925.199951171875,0.008581999689340591,27.184999465942383,0.8842999935150146,30482.0,,,
49.209999084472656,89.69599914550781,3749.5,1.0828900337219238,1.2259409427642822,1.2090400457382202,1926.0999755859375,0.008568000048398972,27.200000762939453,0.8835800290107727,30504.0,,,
49.369998931884766,89.75700378417969,3749.0,1.0825999975204468,1.2251899242401123,1.2089999914169312,1928.9000244140625,0.008570999838411808,27.274999618530273,0.8841400146484375,30499.0,,,
49.400001525878906,89.68599700927734,3751.75,1.082200050354004,1.2262415885925293,1.208490014076233,1927.4000244140625,0.008573999628424644,27.28499984741211,0.8830599784851074,30517.0,,,
49.54999923706055,89.6259994506836,3761.75,1.0829700231552124,1.2268433570861816,1.2090400457382202,1928.0,0.008565999567508698,27.28499984741211,0.8829900026321411,30599.0,,,
49.59000015258789,89.63600158691406,3764.75,1.0827300548553467,1.2268433570861816,1.2084499597549438,1928.800048828125,0.008569999597966671,27.329999923706055,0.8829100131988525,30622.0,,,
49.529998779296875,89.59100341796875,3762.25,1.0807000398635864,1.2280486822128296,1.2047200202941895,1938.699951171875,0.008564000017940998,27.514999389648438,0.8805000185966492,30591.0,10769.330078125,,
49.619998931884766,89.52300262451172,3763.0,1.0813000202178955,1.2286521196365356,1.2053799629211426,1936.4000244140625,0.008564000017940998,27.434999465942383,0.8804200291633606,30599.0,10748.4599609375,,
49.349998474121094,89.46099853515625,3769.75,1.081030011177063,1.2297097444534302,1.2028599977493286,1936.5,0.008547999896109104,27.5,0.8792799711227417,30650.0,10790.240234375,,22.93
48.880001068115234,89.47200012207031,3771.0,1.0814800262451172,1.23001229763031,1.2028100490570068,1936.199951171875,0.008553000167012215,27.479999542236328,0.8797500133514404,30667.0,10788.1103515625,,22.98
49.0099983215332,89.46700286865234,3768.5,1.0818699598312378,1.2295585870742798,1.2040899991989136,1933.0999755859375,0.008564000017940998,27.420000076293945,0.8794000148773193,30664.0,10775.51953125,,23.05
48.970001220703125,89.46399688720703,3768.0,1.0812400579452515,1.2295585870742798,1.2041000127792358,1937.9000244140625,0.008557000197470188,27.46500015258789,0.879610002040863,30659.0,10772.740234375,,23.04
48.90999984741211,89.45500183105469,3768.5,1.0809400081634521,1.23016357421875,1.202720046043396,1939.5999755859375,0.008547999896109104,27.5,0.879010021686554,30674.0,10784.8095703125,,23.04
48.90999984741211,89.4990005493164,3767.5,1.0815800428390503,1.2297097444534302,1.2027299404144287,1937.800048828125,0.00854399986565113,27.459999084472656,0.8798400163650513,30659.0,10793.5400390625,,23.07
48.31999969482422,89.47699737548828,3767.25,1.0812499523162842,1.2303149700164795,1.2011499404907227,1937.699951171875,0.008546000346541405,27.405000686645508,0.8790900111198425,30653.0,10787.900390625,,23.09
48.27000045776367,89.47899627685547,3767.5,1.0808700323104858,1.2309207916259766,1.1995400190353394,1935.800048828125,0.008526000194251537,27.43000030517578,0.8785200119018555,30649.0,10782.900390625,,23.09
48.369998931884766,89.59500122070312,3763.25,1.080489993095398,1.229256272315979,1.197700023651123,1941.5,0.00853700004518032,27.614999771118164,0.8791999816894531,30614.0,10782.4404296875,0.9279999732971191,23.17
48.95000076293945,89.54900360107422,3762.0,1.0815000534057617,1.23016357421875,1.1983699798583984,1944.300048828125,0.008526000194251537,27.645000457763672,0.8792999982833862,30591.0,10785.740234375,0.9369999766349792,23.25
